Filename,Label,XMin,YMin,XMax,YMax,Area
tile_10000_10000.png(1),Lake,0.16924475,0.8513463,0.22549105,0.8973241,0.0025860793
tile_10000_10000.png(2),Lake,0.17210434,0.8442591,0.22268489,0.8777537,0.0016941747
tile_10000_10000.png(3),Lake,0.0,0.8289666,0.2736508,1.0,0.046803422
tile_10000_10000.png(4),Lake,0.17220382,0.85205764,0.20973812,0.87866175,0.0009985667
tile_10000_11500.png(1),Lake,0.46739528,0.25662655,0.59004664,0.46718484,0.025825264
tile_10000_11500.png(2),Lake,0.68349123,0.001222238,0.7725391,0.09683055,0.008513714
tile_10000_11500.png(3),Lake,0.5055047,0.34691307,0.9867615,1.0,0.3143025
tile_10000_11500.png(4),Lake,0.7132975,0.13418363,0.75883687,0.17729369,0.0019632052
tile_10000_11500.png(5),Lake,0.32705548,0.08574792,0.3697914,0.12457923,0.0016594911
tile_10000_11500.png(6),Lake,0.30688614,0.7037329,0.34830254,0.72461295,0.0008647764
tile_10000_11500.png(7),Lake,0.70611304,0.27177593,0.7477086,0.3280588,0.0023411189
tile_10000_11500.png(8),Lake,0.5346403,0.5828217,0.7859562,1.0,0.10484353
tile_10000_11500.png(9),Lake,0.51793927,0.6563767,0.90599793,1.0,0.13334599
tile_10000_11500.png(10),Lake,0.48694393,0.25169203,0.57285184,0.35931197,0.009245404
tile_10000_11500.png(11),Lake,0.31600586,0.7071052,0.34647924,0.73180807,0.00075277925
tile_10000_11500.png(12),Lake,0.46200466,0.3382872,0.5823526,0.4485057,0.013264567
tile_10000_11500.png(13),Lake,0.7149985,0.20187227,0.7441661,0.22771095,0.0007536519
tile_10000_11500.png(14),Lake,0.7533228,0.8842072,0.8709912,0.9998135,0.013603209
tile_10000_11500.png(15),Lake,0.7054474,0.8838773,0.9294739,0.99662316,0.025258066
tile_10000_11500.png(16),Lake,0.30506793,0.6943931,0.3515145,0.7166371,0.0010331562
tile_10000_11500.png(17),Lake,0.52440244,0.8405315,0.7685769,0.990057,0.036510304
tile_10000_11500.png(18),Lake,0.70711225,0.20512556,0.74284333,0.24266417,0.0013412952
tile_10000_11500.png(19),Lake,0.7130684,0.19306077,0.8816396,0.43421412,0.040651504
tile_10000_11500.png(20),Lake,0.6848046,0.007614185,0.75899714,0.02759822,0.0014826661
tile_10000_11500.png(21),Lake,0.4189447,0.8024373,0.9737978,0.9945182,0.10657669
tile_10000_12000.png(1),Lake,0.12197151,0.6545335,0.2062832,0.7716345,0.009872984
tile_10000_12000.png(2),Lake,0.58365506,0.62666374,0.6940519,0.6703128,0.004818721
tile_10000_12000.png(3),Lake,0.2282331,0.8729443,0.26431885,0.8941843,0.0007664613
tile_10000_12000.png(4),Lake,0.3983341,0.7884215,0.5767119,1.0,0.03774091
tile_10000_12000.png(5),Lake,0.42734203,0.79040354,0.48909646,0.8223783,0.0019745815
tile_10000_12000.png(6),Lake,0.13897173,0.869767,0.17881577,0.90223545,0.0012936736
tile_10000_12000.png(7),Lake,0.1212978,0.635131,0.21040218,0.8258969,0.016998079
tile_10000_12000.png(8),Lake,0.13415565,0.8789321,0.17830063,0.909307,0.0013408989
tile_10000_12000.png(9),Lake,0.5777552,0.599816,0.69190794,0.76163423,0.01847199
tile_10000_12000.png(10),Lake,0.14301182,0.87901515,0.17488512,0.90370333,0.00078689394
tile_10000_12000.png(11),Lake,0.601865,0.5236848,0.671076,0.5489482,0.0017485074
tile_10000_12000.png(12),Lake,0.5985617,0.5238751,0.6853222,0.56613785,0.0036667367
tile_10000_12000.png(13),Lake,0.4896029,0.7943034,0.53906816,0.8260663,0.0015711603
tile_10000_12000.png(14),Lake,0.12904012,0.6602791,0.19718008,0.7439933,0.005704281
tile_10000_12000.png(15),Lake,0.6043052,0.5240291,0.64483476,0.5512562,0.0011035022
tile_10000_12000.png(16),Lake,0.41385147,0.7873335,0.5556515,0.8250111,0.0053426824
tile_10000_12000.png(17),Lake,0.10002549,0.5723708,0.11900947,0.5859313,0.0002574318
tile_10000_12000.png(18),Lake,0.583345,0.63139194,0.6889711,0.69195175,0.006396697
tile_10000_12000.png(19),Lake,0.23366873,0.8803894,0.2618623,0.9061518,0.00072633364
tile_10000_12000.png(20),Lake,0.22580563,0.8648745,0.26452222,0.88688564,0.0008521973
tile_10000_12000.png(21),Lake,0.10307373,0.56623316,0.12625895,0.59183025,0.00059347437
tile_10000_12000.png(22),Lake,0.114715874,0.70489,0.19788966,0.77108854,0.005505982
tile_10000_12000.png(23),Lake,0.42523667,0.7972825,0.50122285,0.84123224,0.0033395714
tile_10000_12000.png(24),Lake,0.5975209,0.5272696,0.6343761,0.55644375,0.0010752197
tile_10000_12000.png(25),Lake,0.59705895,0.61698574,0.69068116,0.65525216,0.0035825868
tile_10000_3500.png(1),Lake,0.6472778,0.28736982,0.7394671,0.36903733,0.0075288718
tile_10000_4500.png(1),Lake,0.94938135,0.0,0.99949807,0.09015218,0.0045181313
tile_10000_5000.png(1),Lake,0.41391364,0.105718255,0.48785123,0.15519372,0.0036580965
tile_10000_5000.png(2),Lake,0.6503272,0.76208925,0.71861094,0.8466935,0.0057770954
tile_10000_5000.png(3),Lake,0.49422047,0.4788568,0.57033104,0.5312763,0.003989677
tile_10000_5000.png(4),Lake,0.57967156,0.5064805,0.62572134,0.54398423,0.0017270378
tile_10000_5000.png(5),Lake,0.84094876,0.73514485,0.90216476,0.8452697,0.006741401
tile_10000_5000.png(6),Lake,0.040133655,0.17073686,0.30427486,0.8288946,0.17384659
tile_10000_5000.png(7),Lake,0.57508737,0.49955115,0.63092965,0.5324647,0.0018379668
tile_10000_5000.png(8),Lake,0.9014201,0.3330703,0.9549247,0.37316617,0.0021453127
tile_10000_5000.png(9),Lake,0.329294,0.031588737,0.3673693,0.052875128,0.0008104857
tile_10000_5000.png(10),Lake,0.66353863,0.6490551,0.7308027,0.6805828,0.0021206816
tile_10000_5000.png(11),Lake,0.0,0.3361779,0.5177669,0.99271584,0.3399336
tile_10000_5000.png(12),Lake,0.3054501,0.9607382,0.3777837,0.99110967,0.0021968782
tile_10000_5000.png(13),Lake,0.016776562,0.06979976,0.42247126,0.89575714,0.33508652
tile_10000_5000.png(14),Lake,0.5469124,0.07680261,0.57744944,0.10270065,0.0007908502
tile_10000_5000.png(15),Lake,0.089077234,0.2953541,0.3063872,1.0,0.15312657
tile_10000_5000.png(16),Lake,0.18453483,0.036917895,0.21553807,0.06144459,0.000760407
tile_10000_5000.png(17),Lake,0.40852055,0.47276554,0.4365854,0.49005967,0.00048535736
tile_10000_5000.png(18),Lake,0.5548802,0.08333616,0.5885519,0.103284,0.0006716773
tile_10000_5000.png(19),Lake,0.71691877,0.11708696,0.75466263,0.14785354,0.0011612496
tile_10000_5000.png(20),Lake,0.34693044,0.8689483,0.36756414,0.88288546,0.00028757547
tile_10000_5000.png(21),Lake,0.32357636,0.02160111,0.3683811,0.044058003,0.0010061754
tile_10000_5000.png(22),Lake,0.6664847,0.0839493,0.69238544,0.101013325,0.00044197062
tile_10000_5000.png(23),Lake,0.7291974,0.12433243,0.7607865,0.14909767,0.00078231137
tile_10000_5000.png(24),Lake,0.5434289,0.07766597,0.5737859,0.09553344,0.0005424028
tile_10000_5000.png(25),Lake,0.009941828,0.6869843,0.36592576,1.0,0.11142857
tile_10000_5000.png(26),Lake,0.5474369,0.084838025,0.5713765,0.101711206,0.00040393736
tile_10000_5000.png(27),Lake,0.41780052,0.47301695,0.44072467,0.4888254,0.00036239566
tile_10000_5000.png(28),Lake,0.08048591,0.2347107,0.122269966,0.2581435,0.0009791183
tile_10000_5000.png(29),Lake,0.4261584,0.010915547,0.45488572,0.02638191,0.0004443072
tile_10000_5000.png(30),Lake,0.0035072893,0.108922735,0.062550776,0.25783825,0.008792491
tile_10000_5000.png(31),Lake,0.3383522,0.040776294,0.36538574,0.060023475,0.0005203194
tile_10000_5500.png(1),Lake,0.87079346,0.31146738,0.9728206,0.37996012,0.006988117
tile_10000_5500.png(2),Lake,0.9442186,0.79345846,0.9981212,0.8273986,0.0018294625
tile_10000_5500.png(3),Lake,0.8751964,0.3100937,0.94812196,0.36604762,0.0040804716
tile_10000_5500.png(4),Lake,0.8174483,0.2953185,0.9754424,0.5028748,0.032792665
tile_10000_5500.png(5),Lake,0.73049885,0.72648114,0.8370461,0.8184598,0.009800073
tile_10000_5500.png(6),Lake,0.6643521,0.73776114,0.70785505,0.7829337,0.001965139
tile_10000_5500.png(7),Lake,0.06926475,0.5355861,0.096734814,0.5588491,0.00063903554
tile_10000_5500.png(8),Lake,0.14381707,0.7511562,0.17494519,0.7863076,0.001094196
tile_10000_5500.png(9),Lake,0.14388701,0.7533541,0.18167572,0.79676384,0.0016403988
tile_10000_5500.png(10),Lake,0.07491917,0.54498166,0.092552595,0.55687064,0.00020964343
tile_10000_5500.png(11),Lake,0.13912818,0.7395538,0.179255,0.7871231,0.0019088035
tile_10000_5500.png(12),Lake,0.6677811,0.7174688,0.85378695,0.82453346,0.019914651
tile_10000_5500.png(13),Lake,0.08031292,0.54135936,0.098093666,0.5554063,0.00024976445
tile_10000_5500.png(14),Lake,0.07059914,0.5492956,0.09700739,0.56727666,0.0004748481
tile_10000_5500.png(15),Lake,0.19250686,0.44545862,0.22613823,0.47436103,0.00097202766
tile_10000_5500.png(16),Lake,0.6574889,0.74715036,0.71781623,0.8010499,0.0032516157
tile_10000_5500.png(17),Lake,0.86878055,0.31403717,0.9674765,0.35554263,0.0040964196
tile_10000_5500.png(18),Lake,0.87212175,0.306549,0.92758626,0.35940865,0.0029318335
