Filename,Label_2015,XMin_2015,YMin_2015,XMax_2015,YMax_2015,Area_2015,Label_2016,XMin_2016,YMin_2016,XMax_2016,YMax_2016,Area_2016,Percentage_Decrease
tile_10000_11500.png(2),Lake,0.6282476,0.47560486,0.72772616,0.6038944,0.012762058,Lake,0.68349123,0.001222238,0.7725391,0.09683055,0.008513714,33.28886297178715
tile_10000_11500.png(11),Lake,0.7814622,0.14325051,0.824253,0.17434756,0.0013306688,Lake,0.31600586,0.7071052,0.34647924,0.73180807,0.00075277925,43.42850377193784
tile_10000_12000.png(8),Lake,0.13883117,0.5628898,0.18306653,0.6020181,0.0017308547,Lake,0.13415565,0.8789321,0.17830063,0.909307,0.0013408989,22.529666990533638
tile_10000_5000.png(6),Lake,0.009451652,0.0,0.3454675,0.9625265,0.32342416,Lake,0.040133655,0.17073686,0.30427486,0.8288946,0.17384659,46.248112695106016
tile_10000_5000.png(17),Lake,0.22647384,0.66227764,0.27238604,0.6939284,0.0014531572,Lake,0.40852055,0.47276554,0.4365854,0.49005967,0.00048535736,66.59980351747217
tile_10000_5000.png(18),Lake,0.23130904,0.6684429,0.2655591,0.6997315,0.0010716374,Lake,0.5548802,0.08333616,0.5885519,0.103284,0.0006716773,37.32233496143378
tile_1000_4000.png(10),Lake,0.8498036,0.83631134,0.892591,0.86023253,0.0010235249,Lake,0.4397354,0.8504845,0.4671116,0.86678046,0.00044612132,56.41324212044084
tile_1000_4500.png(2),Lake,0.33941412,0.85359204,0.37848964,0.88180304,0.0011023595,Lake,0.4955867,0.4790545,0.52517647,0.50169665,0.00066997565,39.22348834477319
tile_1000_4500.png(3),Lake,0.33344427,0.94322556,0.3769867,0.97397834,0.0013390512,Lake,0.5837338,0.5887664,0.61345905,0.6059498,0.0005107816,61.85496118445658
tile_1000_4500.png(4),Lake,0.3387864,0.843517,0.3749978,0.87843984,0.0012646049,Lake,0.87316096,0.23471554,0.91306114,0.25883326,0.00096230156,23.904963518645232
tile_1000_4500.png(5),Lake,0.26604825,0.6566319,0.3329107,0.71714914,0.0040463307,Lake,0.3430514,0.17416033,0.40403715,0.19862057,0.001491726,63.133858535092045
tile_1000_4500.png(8),Lake,0.4844512,0.6893158,0.5179636,0.71181387,0.000753964,Lake,0.35304293,0.440476,0.37560686,0.45407492,0.00030684512,59.30241762206153
tile_10500_10000.png(1),Lake,0.70176697,0.8217921,0.79143935,0.90977013,0.007889198,Lake,0.5459082,0.6162483,0.640634,0.67876816,0.005922242,24.93226814690162
tile_10500_10000.png(2),Lake,0.74615306,0.94677347,0.8871242,0.98631924,0.005574812,Lake,0.6413845,0.45577812,0.6947512,0.499854,0.002352185,57.806917973198026
tile_10500_10000.png(7),Lake,0.74108404,0.934262,0.8937993,0.9777757,0.0066452087,Lake,0.54269546,0.61651486,0.62458843,0.6559051,0.0032257857,51.456969289768125
tile_10500_10000.png(9),Lake,0.75057983,0.94245446,0.8516712,0.97817224,0.0036107604,Lake,0.600429,0.6587184,0.63942444,0.6880364,0.0011432675,68.33720952517369
tile_10500_10000.png(11),Lake,0.372921,0.26513103,0.40704829,0.3056824,0.0013839083,Lake,0.75884926,0.96501344,0.7994628,0.9887015,0.0009620565,30.482641082505246
tile_10500_12000.png(12),Lake,0.6439682,0.18586875,0.68855375,0.21378882,0.0012448309,Lake,0.49619585,0.68517894,0.5215281,0.70121664,0.00040627146,67.36332139570122
tile_11000_12000.png(1),Lake,0.3763532,0.43158984,0.4770598,0.5362417,0.010539135,Lake,0.36738053,0.39623275,0.44578227,0.5013513,0.008241477,21.801200952450074
tile_11000_12000.png(2),Lake,0.39050213,0.057470977,0.48420244,0.18051933,0.01152967,Lake,0.82209796,0.8023427,0.87925816,0.9429957,0.008039754,30.269001627973747
tile_11000_12000.png(10),Lake,0.56585205,0.28012714,0.60800546,0.3038963,0.0010019518,Lake,0.76605207,0.4633181,0.80012715,0.48057923,0.000588174,41.297176171548365
tile_11000_12000.png(16),Lake,0.3685311,0.25236842,0.40508443,0.2848456,0.0011871485,Lake,0.4977017,0.70508736,0.5301567,0.730098,0.0008117197,31.6244176697355
tile_11500_10500.png(7),Lake,0.682049,0.010895619,0.7295664,0.036448754,0.001214219,Lake,0.6340884,0.022428764,0.6799583,0.043585148,0.0009704409,20.076946580476836
tile_11500_11000.png(2),Lake,0.037669133,0.016300762,0.264433,0.13082998,0.025971087,Lake,0.0,0.05293894,0.12910546,0.13170335,0.010168916,60.84524301967029
tile_11500_11000.png(3),Lake,0.06420205,0.014342737,0.32263932,0.1608089,0.037852317,Lake,0.08320117,0.1539141,0.26438147,0.26684105,0.02046014,45.947456796369956
tile_11500_12000.png(2),Lake,0.7092185,0.022722054,0.7845313,0.12799375,0.007928305,Lake,0.8489651,0.3255911,0.90647316,0.41073057,0.004896206,38.24397522547379
tile_1500_2500.png(9),Lake,0.6854699,0.5941287,0.725323,0.6186547,0.000977437,Lake,0.7140041,0.18931693,0.74149936,0.20701022,0.00048648188,50.22882497797813
tile_1500_3000.png(3),Lake,0.01069948,0.38484868,0.034120586,0.40768194,0.00053478015,Lake,0.25118786,0.5873981,0.26852414,0.6014342,0.00024333304,54.498490641434614
tile_1500_3000.png(4),Lake,0.0057111816,0.38503858,0.036046553,0.42013994,0.0010648126,Lake,0.29572377,0.45112047,0.32468805,0.47987032,0.00083271886,21.796674832735828
tile_1500_6000.png(1),Lake,0.08913108,0.593539,0.14640848,0.6516454,0.003328185,Lake,0.37853804,0.8184234,0.4220771,0.86470026,0.0020148507,39.46097647817053
tile_1500_6000.png(5),Lake,0.034493905,0.53261966,0.106829,0.5607336,0.002033626,Lake,0.38785514,0.8287317,0.4198246,0.8626303,0.0010837197,46.709980104503
tile_2000_5500.png(4),Lake,0.49823943,0.42299333,0.5400268,0.45025668,0.001139263,Lake,0.64377177,0.36032686,0.6862144,0.37927708,0.00080429716,29.40197654097429
tile_2000_5500.png(8),Lake,0.55953807,0.33006403,0.59170026,0.3513572,0.0006848347,Lake,0.69555885,0.7131311,0.72384244,0.7279841,0.00042009458,38.65752129674504
tile_2000_5500.png(12),Lake,0.563405,0.31311628,0.6020332,0.33705896,0.0009248631,Lake,0.8630748,0.86177653,0.8904271,0.87746567,0.00042913444,53.60022040018679
tile_2000_6000.png(3),Lake,0.29587248,0.79514056,0.34888837,0.8428651,0.0025301592,Lake,0.0015668095,0.68030924,0.024056995,0.72562575,0.0010191769,59.718862749822236
tile_2000_6000.png(5),Lake,0.58344024,0.9540755,0.6224391,0.9795167,0.0009921761,Lake,0.005823292,0.6727056,0.021804841,0.7065952,0.0005416082,45.41208964819854
tile_2000_6000.png(8),Lake,0.7266503,0.78565973,0.75905997,0.81080145,0.00081483467,Lake,0.031930465,0.013318613,0.060121056,0.029910639,0.000467739,42.597066960835136
tile_2000_6500.png(2),Lake,0.35258493,0.53578585,0.40095446,0.56913465,0.0016130656,Lake,0.38568646,0.9353036,0.41105267,0.9575965,0.00056548533,64.94343875413374
tile_2000_6500.png(3),Lake,0.8509017,0.3307746,0.89504844,0.35428643,0.00103797,Lake,0.12512057,0.97204363,0.15473256,0.98970014,0.00052284426,49.62819156623024
tile_2000_7000.png(1),Lake,0.013071197,0.5901627,0.12624045,0.6489514,0.006653075,Lake,0.008115041,0.7514374,0.084891304,0.7938358,0.0032551903,51.07239434396876
tile_2000_7000.png(2),Lake,0.14062862,0.76495004,0.33751208,0.838898,0.014559131,Lake,0.16825442,0.9165314,0.2632632,0.98368645,0.0063803205,56.176501880503714
tile_2000_7000.png(5),Lake,0.28092217,0.6146051,0.32452703,0.6523003,0.0016436923,Lake,0.12431512,0.8786972,0.16024454,0.89751226,0.0006760135,58.872259728904254
tile_2000_7000.png(8),Lake,0.109252445,0.51248705,0.1401971,0.53824896,0.00079719315,Lake,0.11689588,0.6688462,0.1473766,0.68724656,0.00056085654,29.646091414608872
tile_2000_7000.png(10),Lake,0.7970325,0.80073607,0.87038225,0.8302704,0.002166337,Lake,0.8399936,0.95377094,0.88022894,0.9769115,0.0009310679,57.021095979065116
tile_2000_7000.png(11),Lake,0.3076603,0.90034497,0.34519884,0.9188453,0.0006944751,Lake,0.11945194,0.66104287,0.14575683,0.6799912,0.0004984333,28.22877306904163
