Filename,Label_2015,XMin_2015,YMin_2015,XMax_2015,YMax_2015,Area_2015,Label_2016,XMin_2016,YMin_2016,XMax_2016,YMax_2016,Area_2016,Percentage_Decrease
tile_10000_11500.png(6),Lake,0.626271,0.4081935,0.74711174,0.5958366,0.022674927,Lake,0.30688614,0.7037329,0.34830254,0.72461295,0.0008647764,96.1861998497283
tile_10000_11500.png(18),Lake,0.44051123,0.18361016,0.53191006,0.32224894,0.012671423,Lake,0.70711225,0.20512556,0.74284333,0.24266417,0.0013412952,89.41480211022866
tile_10000_12000.png(3),Lake,0.13652234,0.5681528,0.19384126,0.630737,0.0035872604,Lake,0.2282331,0.8729443,0.26431885,0.8941843,0.0007664613,78.63379809282873
tile_10000_5000.png(1),Lake,0.015097499,0.093972325,0.23046581,0.5869775,0.10617769,Lake,0.41391364,0.105718255,0.48785123,0.15519372,0.0036580965,96.55474092532998
tile_10000_5000.png(7),Lake,0.0065055015,0.0,0.31689152,0.58267117,0.180853,Lake,0.57508737,0.49955115,0.63092965,0.5324647,0.0018379668,98.9837233554323
tile_10000_5000.png(9),Lake,0.008234478,0.028116776,0.2535641,0.44810677,0.10303599,Lake,0.329294,0.031588737,0.3673693,0.052875128,0.0008104857,99.21339553295891
tile_10000_5000.png(10),Lake,0.05404082,0.30462715,0.23424006,0.5686521,0.047577094,Lake,0.66353863,0.6490551,0.7308027,0.6805828,0.0021206816,95.54264159135066
tile_10000_5000.png(14),Lake,0.010574347,0.11904349,0.16995314,0.3101847,0.030463852,Lake,0.5469124,0.07680261,0.57744944,0.10270065,0.0007908502,97.40397176299308
tile_1000_4000.png(7),Lake,0.29931918,0.42908716,0.41894242,0.47773954,0.0058199554,Lake,0.7913314,0.487224,0.8393659,0.51353437,0.0012638044,78.2849813591355
tile_1000_4500.png(1),Lake,0.26366636,0.65212005,0.3528304,0.73767483,0.0076284106,Lake,0.019860633,0.47965786,0.04655428,0.5055235,0.00069044833,90.94898837773626
tile_1000_4500.png(7),Lake,0.29953977,0.6622843,0.34588864,0.72163266,0.0027507287,Lake,0.5187766,0.60152256,0.54867935,0.62568295,0.0007224621,73.73561049477543
tile_10500_10000.png(13),Lake,0.37026182,0.26667076,0.39721537,0.30197954,0.0009516969,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_10500_10000.png(14),Lake,0.37693983,0.25845096,0.40631542,0.2830752,0.00072335196,0,0.0,0.0,0.0,0.0,0.0,100.0
tile_10500_10000.png(15),Lake,0.3612921,0.25457737,0.39769855,0.28843462,0.0012326228,0,0.0,0.0,0.0,0.0,0.0,100.0
